step,trees,fires,seedling,ignition,extinction
768,430610,93121,0.047,0.2698,0.0118
771,422708,92510,0.047,0.2698,0.0118
774,420412,91756,0.047,0.2698,0.0118
777,412514,92691,0.047,0.2698,0.0094
780,410290,93232,0.047,0.2698,0.0094
783,402486,93961,0.047,0.2698,0.0094
786,400611,94406,0.047,0.2698,0.0094
789,393284,94920,0.047,0.2698,0.0094
792,391538,95369,0.047,0.2698,0.0094
795,383798,95925,0.047,0.2698,0.0094
798,381816,96561,0.047,0.2698,0.0094
801,374183,97302,0.047,0.2698,0.0094
804,372275,97776,0.047,0.2698,0.0094
807,364668,98396,0.047,0.2698,0.0094
810,362701,98848,0.047,0.2698,0.0094
813,355197,99382,0.047,0.2698,0.0094
816,353259,100007,0.047,0.2698,0.0094
819,345706,100540,0.047,0.2698,0.0094
822,343832,101058,0.047,0.2698,0.0094
825,336368,101461,0.047,0.2698,0.0094
828,334564,101679,0.047,0.2698,0.0094
831,327262,101897,0.047,0.2698,0.0094
834,325531,102127,0.047,0.2698,0.0094
837,318010,102552,0.047,0.2698,0.0094
840,316400,102680,0.047,0.2698,0.0094
843,308841,103020,0.047,0.2698,0.0094
846,307070,103332,0.047,0.2698,0.0094
849,299591,103568,0.047,0.2698,0.0094
852,297855,103702,0.047,0.2698,0.0094
855,290461,103775,0.047,0.2698,0.0094
858,288686,103949,0.0493,0.2698,0.0094
861,281388,104064,0.0493,0.2698,0.0094
864,279561,104395,0.0493,0.2698,0.0094
867,272042,104673,0.0493,0.2698,0.0094
870,270221,104867,0.0493,0.2698,0.0094
873,262755,104928,0.0493,0.2698,0.0094
876,260887,105192,0.0517,0.2698,0.0094
879,253299,105557,0.0587,0.2698,0.0094
882,251371,105884,0.0657,0.2698,0.0094
885,243765,106289,0.0775,0.2698,0.0094
888,241983,106846,0.0986,0.2698,0.0094
891,234802,107365,0.115,0.2698,0.0094
894,233202,108178,0.1173,0.2698,0.0094
897,225742,109258,0.1197,0.2698,0.0094
900,223927,110400,0.1291,0.2698,0.0094
903,216696,111595,0.1408,0.2698,0.0094
906,215054,113336,0.1478,0.2698,0.0094
909,207830,115276,0.1596,0.2698,0.0094
912,206439,117446,0.1736,0.2698,0.0094
915,199576,120050,0.1924,0.2698,0.0094
918,198419,123063,0.1971,0.2698,0.0094
921,192462,126302,0.2229,0.2698,0.0094
924,192147,129916,0.2276,0.2698,0.0094
927,186112,133919,0.2323,0.2698,0.0094
930,185936,138125,0.2346,0.2698,0.0094
933,180624,142156,0.2346,0.2698,0.0094
936,180440,146404,0.2346,0.2698,0.0094
939,174974,150471,0.2346,0.2698,0.0094
942,174951,154651,0.2346,0.2698,0.0094
945,169577,158652,0.2346,0.2698,0.0094
948,169761,162848,0.2346,0.2698,0.0094
951,164413,167142,0.2346,0.2698,0.0094
954,164634,171737,0.2346,0.2698,0.0094
957,159190,176440,0.2346,0.2698,0.0094
960,159769,181074,0.2346,0.2698,0.0094
963,154525,186145,0.2346,0.2698,0.0094
966,154383,191644,0.2346,0.2698,0.0094
969,148650,196910,0.2346,0.2698,0.0094
972,148811,202059,0.2346,0.2698,0.0094
975,143220,207633,0.2346,0.2698,0.0094
978,143318,212853,0.2346,0.2698,0.0094
981,137866,218127,0.2346,0.2698,0.0094
984,137860,223375,0.2346,0.2698,0.0094
987,132462,228557,0.2346,0.2698,0.0094
990,132789,233784,0.2346,0.2698,0.0094
993,127615,239078,0.2346,0.2698,0.0094
996,127826,244688,0.2346,0.2698,0.0094
999,122531,250237,0.2346,0.2698,0.0094
1002,122430,255912,0.2346,0.2698,0.0094
1005,116502,261740,0.2346,0.2698,0.0094
1008,116603,267413,0.2346,0.2698,0.0094
1011,111470,272624,0.2346,0.2698,0.0094
1014,112006,278004,0.2346,0.2698,0.0094
1017,106891,283818,0.2346,0.2698,0.0094
1020,107425,289463,0.2346,0.2698,0.0094
1023,102569,294930,0.2346,0.2698,0.0094
1026,102568,300750,0.2346,0.2698,0.0094
1029,97218,306256,0.2346,0.2698,0.0094
1032,97654,311436,0.2346,0.2698,0.0094
1035,92996,316181,0.2346,0.2698,0.0094
1038,93491,321160,0.2346,0.2698,0.0094
1041,88445,326329,0.2346,0.2698,0.0094
1044,89191,331159,0.2346,0.2698,0.0094
1047,84814,335334,0.2346,0.2698,0.0094
1050,85541,340098,0.2346,0.2698,0.0094
1053,80701,344593,0.2346,0.2698,0.0094
1056,81413,348816,0.2346,0.2698,0.0094
1059,77160,352742,0.2346,0.2698,0.0094
1062,78149,356848,0.2346,0.2698,0.0094
1065,73733,360547,0.2346,0.2698,0.0094
1068,74826,363925,0.2346,0.2698,0.0094
1071,70361,367553,0.2346,0.2698,0.0094
1074,71284,370753,0.2346,0.2698,0.0094
1077,66571,374191,0.2346,0.2698,0.0094
1080,67388,377071,0.2346,0.2698,0.0094
1083,62670,379637,0.2346,0.2698,0.0094
1086,63205,382268,0.2346,0.2698,0.0094
1089,58615,384452,0.2346,0.2698,0.0094
1092,59262,386099,0.2346,0.2698,0.0094
1095,55046,387577,0.2346,0.2698,0.0094
1098,56311,388709,0.2346,0.2698,0.0094
1101,52443,389503,0.2346,0.2698,0.0094
1104,53809,390777,0.2346,0.2698,0.0094
1107,49816,391953,0.2346,0.2698,0.0094
1110,50740,393111,0.2346,0.2698,0.0094
1113,46537,393754,0.2346,0.2698,0.0094
1116,47587,394192,0.2346,0.2698,0.0094
1119,43480,394370,0.2346,0.2698,0.0094
1122,44536,394353,0.2346,0.2698,0.0094
1125,40247,394019,0.2346,0.2698,0.0094
1128,41576,393380,0.2346,0.2698,0.0094
1131,37666,392113,0.2346,0.2698,0.0094
1134,38915,390872,0.2346,0.2698,0.0094
1137,34760,389402,0.2346,0.2698,0.0094
1140,36418,387533,0.2346,0.2698,0.0094
1143,33141,385232,0.2346,0.2698,0.0094
1146,34827,383195,0.2346,0.2698,0.0094
1149,31116,380779,0.2346,0.2698,0.0094
